Airport ID,Airport Name,Airport City,Airport Country
6965,Penn Station,Baltimore,United States
6966,Penn Station,New York,United States
6967,Niau,Niau,French Polynesia
6968,Stratton ANGB - Schenectady County Airpor,Scotia NY,United States
6969,Begishevo,Nizhnekamsk,Russia
6970,Bogovarovo,Bogovarovo,Russia
6971,Summit Camp,Greenland Ice Cap,Greenland
6972,Warri Airport,Osubi,Nigeria
6973,Volkel,Volkel,Netherlands
6974,Sayak Airport,Siargao,Philippines
6975,Langeoog Airport,Langeoog,Germany
6976,Fane Airport,Fane,Papua New Guinea
6977,Itokama Airport,Itokama,Papua New Guinea
6978,Ononge Airport,Ononge,Papua New Guinea
6979,Tapini Airport,Tapini,Papua New Guinea
6980,Wanigela Airport,Wanigela,Papua New Guinea
6981,Woitape Airport,Woitape,Papua New Guinea
6982,Awaba Airport,Awaba,Papua New Guinea
6983,Telefomin Airport,Telefomin,Papua New Guinea
6984,Kappelen,Biel,Switzerland
6985,Nelspruit Airport,Nelspruit,South Africa
6986,Cherkassy,Cherkassy,Ukraine
6987,Gotska Sandon Heliport,Gotland,Sweden
6988,Lauterhorn,Faro,Sweden
6989,St. Augustine Airport,St. Augustine Airport,United States
6990,Mykolaiv International Airport,Nikolayev,Ukraine
6991,Ramechhap,Ramechhap,Nepal
6992,Charles M Schulz Sonoma Co,Santa Rosa,United States
6993,Kissimmee Gateway Airport,Kissimmee,United States
6994,Lake City Municipal Airport,Lake City,United States
6995,DeLand Municipal Airport,DeLand,United States
6996,Haller Airpark Airport,Green Cove Springs,United States
6997,Santa Lucia PNP Airstrip,Santa Lucia,Peru
6998,Logan-Cache,Logan,United States
6999,Brigham City,Brigham City,United States
7000,Malad City,Malad City,United States
7001,Aspen Pitkin County Sardy Field,Aspen,United States
7002,Hilton Head,Hilton Head,United States
7003,Barataevka,Ulyanovsk,Russia
7004,Horog,Horog,Tajikistan
7005,Sabi Sabi Airport,Sabi Sabi,South Africa
7006,Philadelphia 30th St Station,Philadelphia,United States
7007,KBWD,Brownwood,United States
7008,Mexia - Limestone County Airport,Mexia,United States
7009,Kerrville Municipal Airport,Kerrville,United States
7010,Birrfeld,Birrfeld,Switzerland
7011,Sussex Co,Georgetown,United States
7012,Seal Cove Seaplane Base,Prince Rupert,Canada
7013,Great Bend Municipal,Great Bend,United States
7014,Hays Regional Airport,Hays,United States
7015,Spirit Of St Louis,Null,United States
7016,Ely Municipal,Ely,United States
7017,Grand Rapids Itasca County,Grand Rapids MN,United States
7018,Thief River Falls,Thief River Falls,United States
7019,Eagle River,Eagle River,United States
7020,Lakeland,Minocqua - Woodruff,United States
7021,Ankeny Regl Airport,Ankeny,United States
7022,Berens River,Berens River,Canada
7023,Corpus Christi NAS,Corpus Christi,United States
7024,Seaplane Base,Port Simpson,Canada
7025,Avalon,Catalina Island,United States
7026,Mojave,Mojave,United States
7027,Air Base,Interlaken,Switzerland
7028,Kenmore Air Harbor Inc Seaplane Base,Kenmore,United States
7029,Municipal,Corozal,Belize
7030,Inisheer,Inisheer,Ireland
7031,Winterlandeplatz,Maennlichen,Switzerland
7032,Paketzentrum,Ostermundigen,Switzerland
7033,Strezhevoy,Strezhevoy,Russia
7034,Cashel,Cashel,Ireland
7035,Hutchinson Municipal Airport,Hutchinson,United States
7036,Bagram AFB,Kabul,Afghanistan
7037,Al Kharj AFB,Al Kharj,Saudi Arabia
7038,Eagle County Airport,Eagle,United States
7039,Oak Lawn Train Station,Oak Lawn,United States
7040,Wrigleyville,Chicago,United States
7041,Gelendzik,Gelendzik,Russia
7042,Rosecrans Mem,Rosecrans,United States
7043,Hartford Union Station,Hartford,United States
7044,Stamford Amtrak Station,Stamford,United States
7045,Newark Penn Station,Newark,United States
7046,Papa Airport,Papa,Hungary
7047,Cuxhaven Airport,Cuxhaven,Germany
7048,Volk Fld,Camp Douglas,United States
7049,BFT County Airport,Beauford,United States
7050,Adana-Incirlik Airbase,Adana,Turkey
7051,Gunnison - Crested Butte,Gunnison,United States
7052,Xi\\'An Xiguan,Xi\\'AN,China
7053,Zamperini Field Airport,Torrance,United States
7054,Manistee County-Blacker Airport,Manistee,United States
7055,Hickam Air Force Base,Honolulu,United States
7056,Charlotte County-Punta Gorda Airport,Punta Gorda,United States
7057,Grand Canyon Heliport,Grand Canyon,United States
7058,Northern Aroostook Regional Airport,Frenchville,United States
7059,Chautauqua County-Jamestown,Jamestown,United States
7060,Riviere Rouge - Mont-Tremblant International Inc. Airport,Mont-Tremblant,Canada
7061,Lake Cumberland Regional Airport,Somerset,United States
7062,Shenandoah Valley Regional Airport,Weyers Cave,United States
7063,Devils Lake Regional Airport,Devils Lake,United States
7064,Dickinson Theodore Roosevelt Regional Airport,Dickinson,United States
7065,Sidney-Richland Municipal Airport,Sidney,United States
7066,Chadron Municipal Airport,Chadron,United States
7067,Alliance Municipal Airport,Alliance,United States
7068,McCook Regional Airport,McCook,United States
7069,Florida Keys Marathon Airport,Marathon,United States
7070,Dawson Community Airport,Glendive,United States
7071,LM Clayton Airport,Wolf Point,United States
7072,Yellowstone Airport,West Yellowstone,United States
7073,San Luis Valley Regional Airport,Alamosa,United States
7074,Canyonlands Field,Moab,United States
7075,Ely Airport,Ely,United States
7076,Vernal Regional Airport,Vernal,United States
7077,Sierra Blanca Regional Airport,Ruidoso,United States
7078,Show Low Regional Airport,Show Low,United States
7079,McCall Municipal Airport,McCall,United States
7080,Lemhi County Airport,Salmon,United States
7081,Mammoth Yosemite Airport,Mammoth Lakes,United States
7082,Friday Harbor Airport,Friday Harbor,United States
7083,Orcas Island Airport,Eastsound,United States
7084,Anacortes Airport,Anacortes,United States
7085,Astoria Regional Airport,Astoria,United States
7086,Newport Municipal Airport,Newport,United States
7087,Emmonak Airport,Emmonak,United States
7088,Unalakleet Airport,Unalakleet,United States
7089,Ugnu-Kuparuk Airport,Kuparuk,United States
7090,Shageluk Airport,Shageluk,United States
7091,Chuathbaluk Airport,Chuathbaluk,United States
7092,Nuiqsut Airport,Nuiqsut,United States
7093,Eek Airport,Eek,United States
7094,Kasigluk Airport,Kasigluk,United States
7095,Kwethluk Airport,Kwethluk,United States
7096,Kwigillingok Airport,Kwigillingok,United States
7097,Marshall Don Hunter Sr. Airport,Marshall,United States
7098,Russian Mission Airport,Russian Mission,United States
7099,Tuntutuliak Airport,Tuntutuliak,United States
7100,Ekwok Airport,Ekwok,United States
7101,Koliganek Airport,Koliganek,United States
7102,Levelock Airport,Levelock,United States
7103,Manokotak Airport,Manokotak,United States
7104,Twin Hills Airport,Twin Hills,United States
7105,Chalkyitsik Airport,Chalkyitsik,United States
7106,Eagle Airport,Eagle,United States
7107,Hughes Airport,Hughes,United States
7108,Huslia Airport,Huslia,United States
7109,Livingood Airport,Livingood,United States
7110,Minto Airport,Minto,United States
7111,Nulato Airport,Nulato,United States
7112,Rampart Airport,Rampart,United States
7113,Tanana Airport,Tanana,United States
7114,Venetie Airport,Venetie,United States
7115,Beaver Airport,Beaver,United States
7116,Central Airport,Central,United States
7117,Shungnak Airport,Shungnak,United States
7118,Birch Creek Airport,Brich Creek,United States
7119,Coldfoot Airport,Coldfoot,United States
7120,Inyokern Airport,Inyokern,United States
7121,Visalia Municipal Airport,Visalia,United States
7122,Merced Municipal Airport,Merced,United States
7123,Laguna de Los Patos International Airport,Colonia,Uruguay
7124,Camelo,Camelo,Uruguay
7125,Amarais Airport,Campinas,Brazil
7126,Phoenix Goodyear,Goodyear,United States
7127,Park City,Park City,United States
7128,Toowoomba,Toowoomba,Australia
7129,Ballera,Ballera,Australia
7130,Gatton,Gatton,Australia
7131,Arkalyk Airport,Arkalyk,Kazakhstan
7132,Hamburger Hafen,Hamburg,Germany
7133,Flugplatz Fehmarn-Neujellingsdorf,Neujellingsdorf,Germany
7134,Nabern Teck,Kirchheim-Teck,Germany
7135,Angoon Seaplane Base,Angoon,United States
7136,Elfin Cove Seaplane Base,Elfin Cove,United States
7137,Tenakee Seaplane Base,Tenakee Springs,United States
7138,Pelican Seaplane Base,Pelican,United States
7139,Chatham Seaplane Base,Sitka,United States
7140,Funter Bay Seaplane Base,Funter Bay,United States
7141,Excursion Inlet Seaplane Base,Excursion Inlet,United States
7142,Hoonah Airport,Hoonah,United States
7143,Kake Airport,Kake,United States
7144,Craig Seaplane Base,Craig,United States
7145,Hollis Seaplane Base,Hollis,United States
7146,Metlakatla Seaplane Base,Metakatla,United States
7147,Thorne Bay Seaplane Base,Thorne Bay,United States
7148,Hydaburg Seaplane Base,Hydaburg,United States
7149,Hyder Seaplane Base,Hyder,United States
7150,Point Baker Seaplane Base,Point Baker,United States
7151,Port Protection Seaplane Base,Port Protection,United States
7152,North Whale Seaplane Base,North Whale Pass,United States
7153,Chignik Lake Airport,Chignik Lake,United States
7154,Egegik Airport,Egegik,United States
7155,Chignik Lagoon Airport,Chignik Lagoon,United States
7156,Chignik Bay Seaplane Base,Chignik,United States
7157,Perryville Airport,Perryville,United States
7158,Pilot Point Airport,Pilot Point,United States
7159,South Naknek Airport,South Naknek,United States
7160,Akhiok Airport,Akhiok,United States
7161,Karuluk Airport,Karluk,United States
7162,Larsen Bay Airport,Larsen Bay,United States
7163,Old Harbor Airport,Old Harbor,United States
7164,Ouzinkie Airport,Ouzinkie,United States
7165,Port Lions Airport,Port Lions,United States
7166,Alitak Seaplane Base,Lazy Bay,United States
7167,Amook Bay Seaplane Base,Amook Bay,United States
7168,Kitoi Bay Seaplane Base,Kitoi Bay,United States
7169,Moser Bay Seaplane Base,Moser Bay,United States
7170,Olga Bay Seaplane Base,Olga Bay,United States
7171,Port Bailey Seaplane Base,Port Bailey,United States
7172,Port Williams Seaplane Base,Port Williams,United States
7173,Seal Bay Seaplane Base,Seal Bay,United States
7174,San Juan - Uganik Seaplane Base,San Juan,United States
7175,West Point Village Seaplane Base,West Point,United States
7176,Zachar Bay Seaplane Base,Zachar Bay,United States
7177,Ambler Airport,Ambler,United States
7178,Buckland Airport,Buckland,United States
7179,Bob Baker Memorial Airport,Kiana,United States
7180,Kobuk Airport,Kobuk,United States
7181,Robert Curtis Memorial Airport,Noorvik,United States
7182,Selawik Airport,Selawik,United States
7183,Brevig Mission Airport,Brevig Mission,United States
7184,Elim Airport,Elim,United States
7185,Golovin Airport,Golovin,United States
7186,Teller Airport,Teller,United States
7187,Wales Airport,Wales,United States
7188,White Mountain Airport,White Mountain,United States
7189,Council Airport,Council,United States
7190,Koyuk Alfred Adams Airport,Koyuk,United States
7191,St. Michael Airport,St. Michael,United States
7192,Shaktoolik Airport,Shaktoolik,United States
7193,Stebbins Airport,Stebbins,United States
7194,Tin City LRRS Airport,Tin City,United States
7195,Atka Airport,Atka,United States
7196,Nikolski Air Station,Nikolski,United States
7197,Icy Bay Airport,Icy Bay,United States
7198,Yakataga Airport,Yakataga,United States
7199,Alakanuk Airport,Alakanuk,United States
7200,Sheldon Point Airport,Nunam Iqua,United States
7201,Kipnuk Airport,Kipnuk,United States
7202,False Pass Airport,False Pass,United States
7203,Nelson Lagoon,Nelson Lagoon,United States
7204,Port Moller Airport,Cold Bay,United States
7205,Klawock Airport,Klawock,United States
7206,Quinhagak Airport,Quinhagak,United States
7207,Kotlik Airport,Kotlik,United States
7208,Koyukuk Airport,Koyukuk,United States
7209,Scammon Bay Airport,Scammon Bay,United States
7210,Nondalton Airport,Nondalton,United States
7211,Pedro Bay Airport,Pedro Bay,United States
7212,Nunapitchuk Airport,Nunapitchuk,United States
7213,Kongiganak Airport,Kongiganak,United States
7214,Nikolai Airport,Nikolai,United States
7215,Takotna Airport,Takotna,United States
7216,Pilot Station Airport,Pilot Station,United States
7217,Akiak Airport,Akiak,United States
7218,Tuluksak Airport,Tuluksak,United States
7219,Grayling Airport,Grayling,United States
7220,Wainwright Airport,Wainwright,United States
