Departure Airport ID,Destination Airport ID,Route ID
2972,6160,147
2972,6160,148
2972,6160,149
2972,6160,150
4364,2975,151
4364,2975,152
4364,2975,153
4364,2975,154
4364,2975,155
4078,2968,156
4078,2968,157
4078,2968,158
4078,2968,159
4078,2968,160
4078,2975,161
4078,2975,162
4078,2975,163
4078,2975,164
4078,2975,165
2975,2990,166
2975,2990,167
2975,2990,168
2975,2990,169
2975,2990,170
2975,6969,171
2975,6969,172
2975,6969,173
2975,6969,174
2975,6969,175
2975,2972,176
2975,2972,177
2975,2972,178
2975,2972,179
2975,2972,180
2975,4364,181
2975,4364,182
2975,4364,183
2975,4364,184
2975,4364,185
2975,4078,186
2975,4078,187
2975,4078,188
2975,4078,189
2975,4078,190
\N,4029,191
\N,4029,192
\N,4029,193
\N,4029,194
\N,4029,195
6160,4029,196
6160,4029,197
6160,4029,198
6160,4029,199
6160,4029,200
6160,2948,201
6160,2948,202
6160,2948,203
6160,2948,204
6160,2948,205
6160,2972,206
6160,2972,207
6160,2972,208
6160,2972,209
6160,2972,210
2936,2937,211
2936,2937,212
2936,2937,213
2936,2937,214
2936,2937,215
2936,4078,216
2936,4078,217
2936,4078,218
2936,4078,219
2936,4078,220
2968,4078,221
2968,4078,222
2968,4078,223
2968,4078,224
2968,4078,225
2935,2937,226
2935,2937,227
2935,2937,228
2935,2937,229
2935,2937,230
2937,2936,231
2937,2936,232
2937,2936,233
2937,2936,234
2937,2936,235
2937,2935,236
2937,2935,237
2937,2935,238
2937,2935,239
2937,2935,240
2937,\N,241
2937,\N,242
2937,\N,243
2937,\N,244
2937,\N,245
2937,8944,246
2937,8944,247
2937,8944,248
2937,8944,249
2937,8944,250
2937,4078,251
2937,4078,252
2937,4078,253
2937,4078,254
2937,4078,255
2937,6924,256
2937,6924,257
2937,6924,258
2937,6924,259
2937,6924,260
2937,9026,261
2937,9026,262
2937,9026,263
2937,9026,264
2937,9026,265
2937,2923,266
2937,2923,267
2937,2923,268
2937,2923,269
2937,2923,270
\N,2937,271
\N,2937,272
\N,2937,273
\N,2937,274
\N,2937,275
2925,4078,276
2925,4078,277
2925,4078,278
2925,4078,279
2925,4078,280
8944,2937,281
8944,2937,282
8944,2937,283
8944,2937,284
8944,2937,285
4078,2936,286
4078,2936,287
4078,2936,288
4078,2936,289
4078,2936,290
4078,2968,291
4078,2968,292
4078,2968,293
4078,2968,294
4078,2968,295
4078,2937,296
4078,2937,297
4078,2937,298
4078,2937,299
4078,2937,300
6924,2937,301
6924,2937,302
6924,2937,303
6924,2937,304
6924,2937,305
9026,2937,306
9026,2937,307
9026,2937,308
9026,2937,309
9026,2937,310
2923,2937,311
2923,2937,312
2923,2937,313
2923,2937,314
2923,2937,315
2786,2789,316
2786,2789,317
2786,2789,318
2786,2789,319
2786,2789,320
2812,2789,321
2812,2789,322
2812,2789,323
2812,2789,324
2812,2789,325
2812,2808,326
2812,2808,327
2812,2808,328
2812,2808,329
2812,2808,330
6067,2789,331
6067,2789,332
6067,2789,333
6067,2789,334
6067,2789,335
2801,2781,336
2801,2781,337
2801,2781,338
2801,2781,339
2801,2781,340
2801,2806,341
2801,2806,342
2801,2806,343
2801,2806,344
2801,2806,345
2789,2786,346
2789,2786,347
2789,2786,348
2789,2786,349
2789,2786,350
2789,2812,351
2789,2812,352
2789,2812,353
2789,2812,354
2789,2812,355
2789,6067,356
2789,6067,357
2789,6067,358
2789,6067,359
2789,6067,360
2789,2781,361
2789,2781,362
2789,2781,363
2789,2781,364
2789,2781,365
2789,2806,366
2789,2806,367
2789,2806,368
2789,2806,369
2789,2806,370
2781,2801,371
2781,2801,372
2781,2801,373
2781,2801,374
2781,2801,375
2781,2789,376
2781,2789,377
2781,2789,378
2781,2789,379
2781,2789,380
2781,2806,381
2781,2806,382
2781,2806,383
2781,2806,384
2781,2806,385
2808,2812,386
2808,2812,387
2808,2812,388
2808,2812,389
2808,2812,390
2806,2801,391
2806,2801,392
2806,2801,393
2806,2801,394
2806,2801,395
2806,2789,396
2806,2789,397
2806,2789,398
2806,2789,399
2806,2789,400
2806,2781,401
2806,2781,402
2806,2781,403
2806,2781,404
2806,2781,405
253,247,406
253,247,407
253,247,408
253,247,409
253,247,410
253,246,411
253,246,412
253,246,413
253,246,414
253,246,415
248,246,416
248,246,417
248,246,418
248,246,419
248,246,420
1044,253,421
1044,253,422
1044,253,423
1044,253,424
1044,253,425
1044,1084,426
1044,1084,427
1044,1084,428
1044,1084,429
1044,1084,430
1044,246,431
1044,246,432
1044,246,433
1044,246,434
1044,246,435
247,253,436
247,253,437
247,253,438
247,253,439
247,253,440
247,246,441
247,246,442
247,246,443
247,246,444
247,246,445
245,298,446
245,298,447
245,298,448
245,298,449
245,298,450
245,246,451
245,246,452
245,246,453
245,246,454
245,246,455
1084,1044,456
1084,1044,457
1084,1044,458
1084,1044,459
1084,1044,460
1084,246,461
1084,246,462
1084,246,463
1084,246,464
1084,246,465
298,246,466
298,246,467
298,246,468
298,246,469
298,246,470
280,246,471
280,246,472
280,246,473
280,246,474
280,246,475
246,253,476
246,253,477
246,253,478
246,253,479
246,253,480
246,248,481
246,248,482
246,248,483
246,248,484
246,248,485
246,1044,486
246,1044,487
246,1044,488
246,1044,489
246,1044,490
246,247,491
246,247,492
246,247,493
246,247,494
246,247,495
246,245,496
246,245,497
246,245,498
246,245,499
246,245,500
246,1084,501
246,1084,502
246,1084,503
246,1084,504
246,1084,505
246,298,506
246,298,507
246,298,508
246,298,509
246,298,510
246,280,511
246,280,512
246,280,513
246,280,514
246,280,515
2709,2673,516
2709,2673,517
2709,2673,518
2709,2673,519
2709,2673,520
2709,2688,521
2709,2688,522
2709,2688,523
2709,2688,524
2709,2688,525
2715,2673,526
2715,2673,527
2715,2673,528
2715,2673,529
2715,2673,530
2673,2709,531
2673,2709,532
2673,2709,533
2673,2709,534
2673,2709,535
2673,2715,536
2673,2715,537
2673,2715,538
2673,2715,539
2673,2715,540
2673,6045,541
2673,6045,542
2673,6045,543
2673,6045,544
2673,6045,545
2673,2688,546
2673,2688,547
2673,2688,548
2673,2688,549
2673,2688,550
2670,2688,551
2670,2688,552
2670,2688,553
2670,2688,554
2670,2688,555
6045,2673,556
6045,2673,557
6045,2673,558
6045,2673,559
6045,2673,560
2688,2709,561
2688,2709,562
2688,2709,563
2688,2709,564
2688,2709,565
2688,2673,566
2688,2673,567
2688,2673,568
2688,2673,569
2688,2673,570
2688,2670,571
2688,2670,572
2688,2670,573
2688,2670,574
2688,2670,575
1506,1678,576
1506,1678,577
1506,1678,578
1506,1678,579
1506,1678,580
1264,1678,581
1264,1678,582
1264,1678,583
1264,1678,584
1264,1678,585
490,1678,586
490,1678,587
490,1678,588
490,1678,589
490,1678,590
1665,1054,591
1665,1054,592
1665,1054,593
1665,1054,594
1665,1054,595
1197,1678,596
1197,1678,597
1197,1678,598
1197,1678,599
1197,1678,600
1054,1678,601
1054,1678,602
1054,1678,603
1054,1678,604
1054,1678,605
4197,1678,606
4197,1678,607
4197,1678,608
4197,1678,609
4197,1678,610
1056,1665,611
1056,1665,612
1056,1665,613
1056,1665,614
1056,1665,615
1678,1506,616
1678,1506,617
1678,1506,618
1678,1506,619
1678,1506,620
1678,1264,621
1678,1264,622
1678,1264,623
1678,1264,624
1678,1264,625
1678,490,626
1678,490,627
1678,490,628
1678,490,629
1678,490,630
1678,1197,631
1678,1197,632
1678,1197,633
1678,1197,634
1678,1197,635
1678,1054,636
1678,1054,637
1678,1054,638
1678,1054,639
1678,1054,640
1678,4197,641
1678,4197,642
1678,4197,643
1678,4197,644
1678,4197,645
730,719,646
730,719,647
730,719,648
730,719,649
730,719,650
737,715,651
737,715,652
737,715,653
737,715,654
737,715,655
737,709,656
737,709,657
737,709,658
737,709,659
737,709,660
737,688,661
737,688,662
737,688,663
737,688,664
737,688,665
737,718,666
737,718,667
737,718,668
737,718,669
737,718,670
737,5595,671
737,5595,672
737,5595,673
737,5595,674
737,5595,675
737,719,676
737,719,677
737,719,678
737,719,679
737,719,680
737,442,681
737,442,682
737,442,683
737,442,684
737,442,685
737,722,686
737,722,687
737,722,688
737,722,689
737,722,690
737,448,691
737,448,692
737,448,693
737,448,694
737,448,695
737,664,696
737,664,697
737,664,698
737,664,699
